"x","y","z","t","Index"
-6,-7,22,-7,35
-2,3,13,-8,27
16,-2,-3,-9,28
1,-3,5,-11,25
1,-10,-4,-4,22
17,0,-5,3,26
5,-8,-8,-20,33
-13,-17,-6,2,25
-7,-4,17,12,28
-4,9,-1,20,16
12,-6,1,13,26
4,6,2,8,16
4,-16,12,-17,41
1,-1,-5,-6,16
-6,5,-10,-4,10
18,3,17,7,35
5,1,-4,-1,16
-20,-6,-7,-13,27
7,-8,-12,17,23
-5,-10,-13,9,17
-11,1,-6,2,9
-2,-9,6,12,22
-10,-5,11,-13,29
-7,-3,7,7,17
-6,18,-4,-5,16
-17,-7,1,7,20
8,2,-7,-1,16
2,1,-7,6,10
-11,-10,9,13,26
13,-1,-10,0,22
4,14,20,10,31
-3,5,-1,-12,21
9,0,2,-7,23
9,-4,-7,15,22
8,-21,-6,4,32
7,11,-13,-21,31
6,-15,-2,-14,34
-1,7,4,-2,16
-3,19,3,9,16
-4,-14,-8,-1,22
-7,7,-8,6,0
-2,-3,-5,10,12
-13,-16,15,17,35
22,-15,-11,1,36
12,-16,-2,-1,31
-11,-5,19,-18,39
-4,-15,-1,1,23
-5,7,-14,-6,14
8,21,-7,-10,27
-1,-13,5,-2,27
3,8,-4,10,11
0,8,-6,-20,28
0,3,-3,-4,15
14,-10,1,1,28
-2,-1,16,-9,29
15,-3,-1,3,26
-15,6,11,4,22
6,-4,6,0,22
1,10,-1,-25,34
2,-4,-15,26,26
4,11,-5,-2,15
-5,-10,-5,7,16
-3,-13,0,3,22
-10,32,13,10,34
-11,-4,23,8,34
3,3,15,-2,28
4,6,-1,4,14
1,-5,-18,-9,22
9,5,-4,9,16
21,4,1,-5,32
-5,-2,8,24,26
-23,1,10,-17,34
10,0,7,-5,27
-7,21,-14,8,16
-7,-7,8,5,22
10,-11,-4,-6,28
-3,0,2,-10,22
-12,3,1,1,12
2,4,4,0,16
-1,-5,0,-18,28
0,-11,-17,0,22
4,13,7,2,21
-4,-3,4,2,16
6,-9,-3,-11,28
-2,-2,1,5,15
3,-2,1,14,17
11,11,2,5,22
4,1,16,-11,32
-3,8,-2,-4,12
11,-5,2,3,23
10,2,12,-6,28
5,-3,11,-22,37
2,1,11,9,22
-6,-9,-6,-8,22
14,-13,20,-6,41
-6,20,1,15,18
22,6,19,-8,41
15,-13,-14,8,30
-2,-6,0,-13,25
-10,-12,12,-4,29
